name,organization_type,parent_organization_id,priority,segment_id,website,phone,email,address,city,state,postal_code,description,logo_url,linkedin_url,annual_revenue,employee_count,founded_year,tax_identifier,context_links,notes,sales_id,created_by,updated_by,deleted_at,import_session_id
Aj'S Pizza,customer,,C,,,,,,,,,Pizza,,,,,,,,,,,,,
Akron,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Al Bawadi Grill,unknown,,D,,,,,,,,,,,,,,,,,FS call.samples dropped.advance to buyer Brian. Send email.,,,,,
Al Peake & Sons INC,distributor,,C,,,,,,,OH,,Distributor,,,,,,,,,,,,,
Al Peake Amd Sons,distributor,,A,,,,,,Toledo,OH,,Distributor,,,,,,,,Jack Gilbertson buyer- hispanic focus broadliner[wonderjuice and curds,,,,,
Albanos Pasta,customer,,B,,,,,,Valparaiso,IN,,Ethnic,,,,,,,,,,,,,
Ale Emporium,customer,,B,,,,,,,,,Gastropub,,,,,,,,,,,,,
Alice & Friends2,unknown,,D,,,,,"2201 S. Michigan Ave Chicago, Il 60616",Chicago,,,,,,,,,,,,,,,,
Alice & Friends-Ashland,unknown,,D,,,,,"1723 N Halsted St Chicago,",Chicago,,,,,,,,,,,,,,,,
Alinea,customer,,A,,,+1-312-867-0110,,"1723 N Halsted St Chicago,",Chicago,IL,60614,Fine Dining,,,,,,,,,,,,,
All Ways Catering,customer,,D,,,+1-312-363-2431,,110 Turner Ave,Elk Grove Village,IL,,Caterer,,,,,,,,,,,,,
Amaru,unknown,,C,,,+1-312-955-0306,,,,,,,,,,,,,,,,,,,
Amg,unknown,,B,,,+1-312-337-6070,,,,,,,,,,,,,,,,,,,
Anchored Consulting,unknown,,D,,,+1-773-327-4900,,,,,,,,,,,,,,,,,,,
Andre'S Avery'S,unknown,,C,,,+1-708-205-5341,,,,,,,,,,,,,,,,,,,
Anelya,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Angie'S,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Angie'S Sports Bar & Pizzeria,customer,,D,,,,,,,,,Gastropub,,,,,,,,,,,,,
Anmar Foods,distributor,,C,,,,,,Chicago,IL,,Distributor,,,,,,,,,,,,,
Anthony Marano Company,distributor,,A,,,,,,Chicago,IL,,Distributor,,,,,,,,,,,,,
Apis Hotel,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Apollo Foods,distributor,,C,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Apolonia,customer,,B,,,+1-312-363-2431,,"2201 S. Michigan Ave Chicago, Il 60616",Chicago,IL,60616,Fine Dining,,,,,,,,,,,,,
Aramark,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Arami,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Arch City Tavern,customer,,B,,,,,,,,,Gastropub,,,,,,,,,,,,,
Arlington Tap House,customer,,A,,,+1-224-735-2450,,1204 W Rand Rd,Arlington Heights,IL,60004,Gastropub,,,,,,,,,,,,,
Aromatix Catering,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Around the Clock,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Arthur Treachers,customer,,B,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Artisan Specialty Foods,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Aruns Thai,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Asador Bastian,customer,,C,,,,,,,,,Fine Dining,,,,,,,,,,,,,
Ashland University,customer,,A,,,,,,,OH,,College & Universites,,,,,,,,Nathan Schegerikmis NH Rep Nick Forester is GFS rep,,,,,
Astor Club,customer,,A,,,,,24 E. Goethe St,Chicago,IL,60610,Fine Dining,,,,,,,,Testa Kristen lead for VAF; Chef Trevor/Adam Butler,,,,,
At the Office Bar& Grill,customer,,C,,,,,4901 Cal Sag Rd,Crestwood,IL,60445,Gastropub,,,,,,,,Sue or Tim are the owner,,,,,
Atelier,customer,,B,,,,,,,,,Fine Dining,,,,,,,,,,,,,
Atlantic Food Dist.,distributor,,A,,,,,,,OH,,Distributor,,,,,,,,,,,,,
Atlantic Food Distributors,distributor,,A,,,,,,,OH,,Distributor,,,,,,,,,,,,,
Atlantic Foods Corp,distributor,,A,,,,,,,OH,,Distributor,,,,,,,,,,,,,
Atlas Wholesale,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Au Cheval,customer,,A,,,,,800 W Randolph St,Chicago,IL,,Chain/Group Member,,,,,,,,,,,,,
Austin'S Wood Fire Grille,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Avanti Foods,distributor,,A,,,,,,Walnut,IL,,Distributor,,,,,,,,,,,,,
Avec,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Avgo (theo'S Rg),customer,,C,,,,,,,,,Casual,,,,,,,,,,,,,
Avli,customer,,C,,,,,,Chicago',,,Fine Dining,,,,,,,,Follow up on VAH and Frties,,,,,
Avli Restaurants,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Azul Marisol'S 7 Muelle,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
B & B Produce,distributor,,A,,,,,,Lockport,IL,,Distributor,,,,,,,,,,,,,
B and B Foods,distributor,,A,,,,,,,IN,,Distributor,,,,,,,,,,,,,
B N B Creations,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
B.E.S INC,distributor,,A,,,,,,,IN,,Distributor,,,,,,,,,,,,,
Back Yard Burgers,customer,,A,,,,,,,,,Casual,,,,,,,,,,,,,
Badger Murphy F.S.,distributor,,A,,,,,,Chicago,IL,,Distributor,,,,,,,,,,,,,
Bailey'S Bar and Grill,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Baker Street,customer,,A,,,,,,Fort Wayne,IN,,Chain/Group Member,,,,,,,,,,,,,
Baldwin Wallace,customer,,C,,,,,,,,,College & Universites,,,,,,,,,,,,,
Baldwin Wallace University,customer,,A,,,,,,Cleveland,,,College & Universites,,,,,,,,,,,,,
Ball State U,customer,,C,,,,,,,,,College & Universites,,,,,,,,,,,,,
Ballyhoo Hospitality,customer,,A,,,+1-312-577-4004,,908 North Halsted St,Chicago,IL,60642,Management company,,,,,,,,"Gemini, coda Del Velte, old Pueblo, Sophia, Pomeroy, pizza by Sal, Buck Russells, Danucci's, Gemini, petite Pomeroy",,,,,
Bally'S Casino and Hotel,unknown,,C,,,+1-888-822-2559,,600 N. Wabash Ave,Chicago,IL,60611,,,,,,,,,They want to support diverse vendors. Sue to set up a meeting.,,,,,
Bally'S Casino and Hotel Tap House Restaurant and Bar,unknown,,C,,,,,,,,,,,,,,,,,DOES NOT LIKT THE OVERBREADING OGF THE SYSCO IMPERIAL BRAND CHEESE CURD LOOKING TO SWITCH,,,,,
Ballys Casino Cavanugh'S,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Ballys Casino Evansville,customer,,B,,,,,,,,,Entertainment/Casinos/Theatres,,,,,,,,,,,,,
Bangers and Lace,customer,,A,,,,,1670 W Division St,Chicago,IL,60622,Chain/Group Member,,,,,,,,,,,,,
Banyan Ko,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Bar Mar,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Bare Bones,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Barefoot Republic Camp,customer,,C,,,,,,Fountain Run,KY,,Hospitality,,,,,,,,intro,,,,,
Barley�S Brewing Company Ale House #1,customer,,B,,,,,,,,,Gastropub,,,,,,,,,,,,,
Barrio,customer,,A,,,,,65 W Kinzie St,Chicago,IL,60654,Ethnic,,,,,,,,Vegetarian/ Vegan options,,,,,
Bastion,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Bastista'S Pizza,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Battaglia Dist. Corp INC,distributor,,A,,,,,,Chicago,IL,,Distributor,,,,,,,,,,,,,
Batter & Berries,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Bavarian Inn/Cheese Trap,customer,,A,,,,,,Frankenmuth,MI,,Gastropub,,,,,,,,"monica claimed cudtown customer. I cisited in Feb -left sample kit,/monica sent dill sample.",,,,,
Bavette'S Bar and Steakhouse,customer,,A,,,+1-312-624-8154,,218 W Kinzie St,Chicago,IL,60654,Chain/Group Member,,,,,,,,Actually advertises steak frites! A vegas spot too!,,,,,
Baxter'S North America,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Bazaar,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Bear and the Butcher,customer,,A,,,+1-312-955-0306,,2721 N Halsted St,Chicago,IL,,Fine Dining,,,,,,,,,,,,,
Beard and Belly,customer,,B,,,,,,,,,Gastropub,,,,,,,,,,,,,
Beatnik on the River,customer,,A,,,,,,,,,Fine Dining,,,,,,,,,,,,,
Beaver Wholesale Meats,distributor,,A,,,,,,,OH,,Distributor,,,,,,,,,,,,,
Beer Exchange,customer,,A,,,,,,,MI,,Gastropub,,,,,,,,,,,,,
Beggars Pizza,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Bella'S Pizza,customer,,C,,,,,,Saugatuck,MI,,Pizza,,,,,,,,erun rogers plant based leads gfs,,,,,
Bellen Container Corp DBA Packaging by Design,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Benny Dicartas,customer,,A,,,,,,,MI,,Gastropub,,,,,,,,,,,,,
Best Intentions,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Lucrezia,customer,,A,,,,,,Chesterton,IN,,Fine Dining,,,,,,,,VAF ANNASEA,,,,,
Industrial Revolution,customer,,A,,,,,,Valpraiso,IN,,Gastropub,,,,,,,,VAF ANNASEA,,,,,
Beverly Cc,prospect,,A,,,,,,Chicago,IL,60652,Country Clubs/Golf/Health Fitness,,,,,,,,GFS ROSEMONT F/U 87th street,,,,,
Bian,customer,,B,,,,,,,,,Gastropub,,,,,,,,,,,,,
Bibibop Asian Grill,customer,,A,,,,,,Columbus,OH,,Chain/Group Member,,,,,,,,Lead from bb. Brent and I will research,,,,,
Big Boy,customer,,B,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Big City Tap,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Big Jones,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Big Red Oven,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Big Woods,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Bink'S Wines & Beverages,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Bistro Coco,customer,,C,,,,,250n Warren St,Dayton,OH,45402,Fine Dining,,,,,,,,Shipped Chef Zac a sample box of Annasea Tuna and salmon,,,,,
Windy Cuty Grill,customer,,A,,,,,,Crown Point,IN,,Chain/Group Member,,,,,,,,steve Coppolillos -Rosebud-Windy City,,,,,
Bizarre Meat by Jose Andres,customer,,A,,,,,"120 N. Wacker Drive, Chicago, Illinois",Chicago,IL,60606,Fine Dining,,,,,,,,,,,,,
Bl Development Group,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Blackwing Organic Meats,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Blondies,prospect,,A,,,,,,Flint,MI,,Vegan/ Vegetarian,,,,,,,,meeting-awaiting assigned sales rep names,,,,,
Bloom & Associates,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Bloom Plant Based,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Blue Chip Casino,customer,,C,,,,,,,,,Entertainment/Casinos/Theatres,,,,,,,,,,,,,
Blue Oyster,customer,,B,,,,,,Valparaiso,IN,,Gastropub,,,,,,,,Chef Edddie,,,,,
Blue Ridge Hotel Partners,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Bluebeard,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Bluegrass Hospitality Group,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Boelter,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Boeufhaus,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Boka,customer,,A,,,+1-312-337-6070,,1729 N. Halsted Street,Chicago,IL,,Chain/Group Member,,,,,,,,Please call on me ..several locations and catering. Tentori doesn't work there. New lead: Tentori works at GT Prime Steakhouse.,,,,,
Boka Restaurant Group/Momotaro,customer,,A,,,,,820 West Lake St,Chicago,IL,,Chain/Group Member,,,,,,,,Please call on me ..several locations and catering. Tentori doesn't work there. New lead: Tentori works at GT Prime Steakhouse.,,,,,
Bolingbrook Golf Club & Banquet,prospect,,C,,,,,,,,,Country Clubs/Golf/Health Fitness,,,,,,,,,,,,,
Bon Appetit,customer,,A,,,,,,,,,Management company,,,,,,,,,,,,,
Bon Manger Catering and Events,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
"Boodell & Domanskis, LLC",unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Boonies,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
"Bosco Food Service, INC",distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Bowling Green State,customer,,B,,,,,,,,,College & Universites,,,,,,,,,,,,,
Brass Elk,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Brassica,customer,,A,,,,,,,,,Gastropub,,,,,,,,,,,,,
Brgbelly,customer,,B,,,,,5739 W. Irving Park Road,,,,Casual,,,,,,,,,,,,,
Briar Ridge,prospect,,A,,,,,,,,,Country Clubs/Golf/Health Fitness,,,,,,,,,,,,,
Brick and Brine,customer,,A,,,,,,,MI,,Gastropub,,,,,,,,,,,,,
Brindille,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Brio Tuscan,customer,,A,,,,,,,,,Fine Dining,,,,,,,,,,,,,
Bronzeville Winery,customer,,A,,,,,,,,,Gastropub,,,,,,,,,,,,,
Brooklyn and the Butcher,unknown,,D,,,,,,,,,,,,,,,,,Sister account to The Exchange.,,,,,
Brown Food Service,distributor,,A,,,,,,,KY,,Distributor,,,,,,,,,,,,,
Bub Cafe,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Bub City,customer,,A,,,,,43rd N. Clark Street,Chicago,IL,60654,Casual,,,,,,,,,,,,,
Bubba'S 33 (Texas Roadhouse Little Sister),customer,,D,,,,,,,,,Casual,,,,,,,,,,,,,
Buckee,prospect,,B,,,,,,,,,Travel,,,,,,,,,,,,,
Bugsy'S,customer,,C,,,,,,,,,Casual,,,,,,,,,,,,,
Bullpen,customer,,C,,,,,,,,,Gastropub,,,,,,,,Sampled curds; purchased Original.,,,,,
Buragtory,customer,,C,,,,,,,,,Gastropub,,,,,,,,7 units; original,,,,,
Burgerup,customer,,C,,,,,,Cool Springs,TN,,Gastropub,,,,,,,,,,,,,
Butcher & the Burger,customer,,B,,,,,1021 W. Armitage Ave,Chicago,IL,,Gastropub,,,,,,,,,,,,,
Butcher and the Bear,customer,,B,,,+1-708-205-5341,,,,,,Fine Dining,,,,,,,,,,,,,
Cafe 53,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Cafe Olympic,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Calling a Chef LLC,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Cameron Mitchell,customer,,A,,,,,,Columbus,OH,,Chain/Group Member,,,,,,,,"Drop off samples from Annasea, Kaufhold and Frites Street",,,,,
Cameron Mitchell Restaurant Group,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Canton Hotel & Restsupco.,customer,,A,,,,,,,OH,,Management company,,,,,,,,,,,,,
Caramagno Foods,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Caring,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Carlisle,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Carlos & Lupitas Restaurants,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Carlos Pancake House,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Carl'S Jr,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Carmela Foods Distributin,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Carson�S Ribs,customer,,A,,,,,465 E Illinois St,Chicago,IL,60611,Casual,,,,,,,,,,,,,
Castle Hospitality,customer,,A,,,,,11 East Hubbard St,Chicago,IL,,Chain/Group Member,,,,,,,,,,,,,
Catanese Classic Seafoods,distributor,,A,,,,,,,OH,,Distributor,,,,,,,,,,,,,
Catch 35,customer,,B,,,,,,,,,Casual,,,,,,,,,,,,,
Catering Out the Box,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Cbk,customer,,A,,,,,,,,,Casual,,,,,,,,,,,,,
Cellar Bar,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Cellar Door,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Center Plate Development Co,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Central Kitchen + Bar,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Central Market,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Century,prospect,,A,,,,,,Columbus,,,Group Purchasing Organization,,,,,,,,,,,,,
Chaney'S Dairy Farm,customer,,C,,,,,,,,,Casual,,,,,,,,,,,,,
Chapel Street Cafe,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Charlie Baggs Culinary Innovations,unknown,,A,,,,,,,,,,,,,,,,,,,,,,
Charlies,unknown,,C,,,,,,,,,,,,,,,,,REP will bring the kit to the chef on their next meeting.,,,,,
Char? 'D Brourbon Kitchen +Bar,customer,,C,,,,,,Louisville,KY,,Gastropub,,,,,,,,pass along a Kaufholds Sample kit Chef,,,,,
Chasers,unknown,,D,,,,,,,,,,,,,,,,,left wamples with bartender Lee; gave brief presentation,,,,,
Cheer'S Food & Drink,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Chef Dave Madison,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Chef Jose Solis,customer,,C,,,+1-773-289-4274,,2714 N Milwaukee Ave,Chicago,IL,60647,Casual,,,,,,,,Have visited wtice. They have bought TCFB.,,,,,
Chef Source,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Chefs Special Cocktail,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Chefs Warehouse,distributor,,A,,,+1-331-213-3364,,,,,,Distributor,,,,,,,,meeting set for 3/26,,,,,
Chef'S Warehouse - Chicago,distributor,,A,,,,,,,,,Distributor,,,,,,,,,,,,,
"Chefs' Warehouse Midwest,",distributor,,A,,,,,,,OH,,Distributor,,,,,,,,,,,,,
Chelsea Retirement,prospect,,A,,,,,,,MI,,Healthcare,,,,,,,,,,,,,
Cherry Creek Golf Course,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Chicago Chophouse,customer,,A,,,,,"60 W. Ontario Street, Chicago, Illinois",Chicago,IL,,Fine Dining,,,,,,,,,,,,,
Sand Creek Cc,prospect,,A,,,,,,Chesterton,IN,,Country Clubs/Golf/Health Fitness,,,,,,,,now Concert management Co. in FL,,,,,
219 Taproom,customer,,B,,,,,,Chesterton,IN,,Gastropub,,,,,,,,JOE OWNER-INSUFFICIENT DEMND FOR VAF,,,,,
Chicago Club,customer,,A,,,,,,,,,Fine Dining,,,,,,,,Emailed Steve Testa,,,,,
Chicago Club Makers LLC,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Chicago Cut,customer,,B,,,,,,,,,Fine Dining,,,,,,,,,,,,,
Chicago Cut Steakhouse,customer,,B,,,,,300 N. LA Salle Dr,Chicago,IL,,Fine Dining,,,,,,,,"Dessert of the day, must ask server. skin on fries.",,,,,
Chicago Diner,prospect,,A,,,,,2333 N Milwaukee Ave,Chicago,IL,60647,Vegan/ Vegetarian,,,,,,,,Will visit with a vegan kit.,,,,,
Chicago Q,customer,,B,,,,,,,,,Casual,,,,,,,,,,,,,
Chicago Vegan Foods,prospect,,D,,,,,,,,,Vending,,,,,,,,,,,,,
Chicago Winery,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Chicken Salad Chick,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Chilean Balsam,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Chocolate Shoppe Ice Cream Co,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Christ Panos Egv,distributor,,A,,,,,,Chicago,IL,,Distributor,,,,,,,,,,,,,
Christ Panos Foods,distributor,,A,,,,,,Chicago,IL,,Distributor,,,,,,,,,,,,,
Cira/Boca Group,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Citizen M,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Clairebook Cc,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Clark Restaurant Service,distributor,,A,,,,,,,KY,,Distributor,,,,,,,,,,,,,
Clarklindsey,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Classic Cafe,customer,,A,,,,,,Fort Wayne,IN,,Caterer,,,,,,,,presented RR sauces Tandoori amd Butter chicken on drums and in cubess; left Kurd kit;presented BB hot dogs and land lovers filet,,,,,
Clean Eatz,prospect,,C,,,,,7776 B S Randall Rd,Algonquin,IL,,Meal Prep Service,,,,,,,,,,,,,
Clems Refrigerated Foods,distributor,,A,,,,,,,KY,,Distributor,,,,,,,,,,,,,
Club 18 at Mister B'S(evansville and Owensboro,customer,,A,,,+1-812-492-0075,,,,,,Casual,,,,,,,,Drop samples to GMs of all locations except BG and Owensboro. Need to follow up with jared@misterbspizza.com,,,,,
Club Hawthrone Crestwood,customer,,B,,,+1-605-595-1636,,13148 Rivercrest Dr,Crestwood,IL,,Entertainment/Casinos/Theatres,,,,,,,,Met with Rebecca. Loves the Garlic & Jalape�o. Has cheese curds but might replace them bc of flavor(s). 11-12-24,,,,,
Cocina Costera Tulum,unknown,,D,,,,,850 W Fulton Market,Chicago,IL,,,,,,,,,,,,,,,
Coco Pazzo,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Cod Di Volpe,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Colasanti'S / Milford Markets,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Coles Public House,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Community Hospitality,customer,,C,,,,,,Nashville,,,Chain/Group Member,,,,,,,,,,,,,
Concept Development Group,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Concordia College Dining Services,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
"Continental Canteen - Sterling Heights, Mi",unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Coopershawk,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Copper Fox,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
"Corfu Foods, INC",distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Corleones,customer,,A,,,,,,Independence,OH,,Gastropub,,,,,,,,Lead from Delmonicos,,,,,
Cornell NYC,customer,,A,,,,,,,,,College & Universites,,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA,,,,,
Cornerstone Restaurant Group,customer,,A,,,,,,,,,Management company,,,,,,,,"Urban Belly, The Table at Crate, Sol Toro, MJ23 Sports Bar Michael Jordan's Steakhouse, Hi-Fi Chicken and Beer, Brassierie 1783",,,,,
"Cosgrove Distributors,Inc",distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Cousin'S Pizza Pub,customer,,C,,,+1-630-980-8181,,966 W Lake St,Roselle,IL,,Pizza,,,,,,,,,,,,,
Cracker Barrel,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Craft & Crew Hospitality,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Craft Burger,customer,,C,,,,,,Chicago,,,Casual,,,,,,,,,,,,,
Craft'D,customer,,C,,,,,,,,,Casual,,,,,,,,,,,,,
Creation Gardens,distributor,,A,,,,,,,KY,,Distributor,,,,,,,,,,,,,
Creekside Restaurant & Bar,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Crescent Hill Craft House,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Crg Dining,customer,,A,,,,,,Indianapolis,IN,,Chain/Group Member,,,,,,,,,,,,,
Cristina Foods,distributor,,A,,,,,,Chicago,IL,,Distributor,,,,,,,,,,,,,
Critchfield Meats Whsl.,distributor,,A,,,,,,,KY,,Distributor,,,,,,,,,,,,,
Crown Republic Gastropub,customer,,A,,,,,,,,,Gastropub,,,,,,,,,,,,,
Crown Restaurant Group,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Crs One Source,distributor,,A,,,,,,Paducah,KY,,Distributor,,,,,,,,Edgar is Director of Sales,,,,,
Crumb Crusher,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Crushed Pizzeria,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Crust Brewing,customer,,A,,,,,,,,,Gastropub,,,,,,,,,,,,,
Culinary Misfits,customer,,D,,,,,,Crown Point,IN,,Gastropub,,,,,,,,Chef Erin,,,,,
Cumin Bowl,customer,,C,,,,,,,,,Ethnic,,,,,,,,,,,,,
Curts Cafe,customer,,C,,,+1-847-748-8086,,766 2nd St,Higland Park,IL,60035,Casual,,,,,,,,"Two locations, Highland Park and Evanston",,,,,
Cynergy Bakes,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Dabney and Company,customer,,A,,,,,,,MI,,Gastropub,,,,,,,,,,,,,
Daisies,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Daisies Poorboy and Tavern,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Dalmares Produce,distributor,,A,,,,,,Chicago,IL,,Distributor,,,,,,,,,,,,,
Danny'S,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
"Dar Baklava, LLC",unknown,,D,,,,,,,,,,,,,,,,,,,,,,
D'Asti Deli,unknown,,D,,,,,1410 Irving Park Rd,Bensenville,IL,,,,,,,,,,Left samples with Manager Meme; garlic prefered,,,,,
Dave & Buster'S Rosemont,customer,,A,,,+1-773-987-1128,,"9870 Berwyn Ave Des Plaines, Il",,IL,,Chain/Group Member,,,,,,,,,,,,,
Dave & Buster'S Schaumburg,customer,,A,,,+1-850-345-0276,,"601 N Martingales Rd Schaumburg, Il",,IL,,Chain/Group Member,,,,,,,,,,,,,
Dawg House,prospect,,B,,,,,,Elyria,OH,,Fast food,,,,,,,,W/w Atalntic Distributor Rep JOSH CHAMBERS,,,,,
Dear Margaret,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Dearly Beloved,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Delco Foods,distributor,,A,,,,,,,IN,,Distributor,,,,,,,,,,,,,
Delmonico,customer,,A,,,,,,Independence,OH,,Fine Dining,,,,,,,,,,,,,
Delwood,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Demera,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Deniro Cheese Co,distributor,,A,,,,,,,OH,,Distributor,,,,,,,,,,,,,
Depaul University,customer,,C,,,,,,,,,College & Universites,,,,,,,,,,,,,
Derosa Corporation,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Diageo Beer Company,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Dilgard Foods Company,distributor,,A,,,,,,,IN,,Distributor,,,,,,,,,,,,,
Dineamic Hospitality,customer,,A,,,,,,,,,Management company,,,,,,,,"Bar La Rue, La Sierra Prime and Provisions, Lyra, Violi, Sienna Tavern, Bandit, Barrio, Blanks Bar, Builders Building, Dineamic Catering",,,,,
Dirty Franks,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Discount Pizza Supply,distributor,,A,,,,,,,IN,,Distributor,,,,,,,,,,,,,
District 6 Restaurant,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
