name,organization_type,parent_organization_id,priority,segment_id,website,phone,email,address,city,state,postal_code,notes,logo_url,linkedin_url,annual_revenue,employee_count,founded_year,tax_identifier,context_links,sales_id,created_by,updated_by,deleted_at,import_session_id
Sysco - Detroit DC,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Sysco - Chicago DC,distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Bagger Daves,customer,,A,,,,,,Grand Rapids,MI,,Type: Chain/Group Member,,,,,,,,,,,,
Gordon Food Service - 50th Street(Fro DC,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Can'T Belive It;S Not Meat,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Superior Foods Co,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Wabash Foodservice - E&S,distributor,,A,,,,,,,IN,,Type: Distributor,,,,,,,,,,,,
Rawley Inn,customer,,A,,,+1-585-356-8752,,71 E Wacker Dr,Independence,OH,,"Type: Gastropub

Sales Notes: Lead from Delmonicos",,,,,,,,,,,,
040 Kitchen INC,unknown,,B,,,,,,,,,,,,,,,,,,,,,
2d Restaurant,unknown,,D,,,,,,,,,,,,,,,,,,,,,
"7 K Farms, INC",distributor,,D,,,,,,,IN,,Type: Distributor,,,,,,,,,,,,
US Foodservice - -Cincinnati,unknown,,C,,,,,,,,,,,,,,,,,,,,,
7 Monks Taproom Grand Rapids,unknown,,B,,,,,,,,,,,,,,,,,,,,,
8 Hospitality Group,customer,,A,,,,,,,,,"Type: Management company

Sales Notes: Hubbard Inn, MASQ joy, district parlay joy, parlay, LINKIN PARK, HVAC, pub, LIQR taco pub Cardoza's pub Caf� Banda never have I ever",,,,,,,,,,,,
90 Miles Cuban Cafe,unknown,,C,,,,,,,,,,,,,,,,,,,,,
A & G Foodservice,distributor,,D,,,,,,Chicago,IL,,Type: Distributor,,,,,,,,,,,,
A Little Taste of Texas,customer,,C,,,,,,Glasgow,KY,,"Type: Casual

Sales Notes: email about samples cheese curds",,,,,,,,,,,,
A Plus INC DBA Noodles Etc,unknown,,A,,,,,,,,,,,,,,,,,,,,,
A&W,customer,,B,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
A.Fusion,customer,,D,,,,,4601 Lincoln Highway,Matteson,IL,,"Type: Ethnic

Sales Notes: Garlic & Sriracha interest. End up purchasing original &jalape�o from PFG",,,,,,,,,,,,
Abbvie,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Acaibowl.Llc,unknown,,A,,,,,,,,,,,,,,,,,,,,,
Acme Steak & Seafood,distributor,,C,,,,,,,OH,,Type: Distributor,,,,,,,,,,,,
Aj'S Pizza,customer,,C,,,,,,,,,Type: Pizza,,,,,,,,,,,,
Akron,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Al Bawadi Grill,unknown,,D,,,,,,,,,Sales Notes: FS call.samples dropped.advance to buyer Brian. Send email.,,,,,,,,,,,,
Al Peake & Sons INC,distributor,,C,,,,,,,OH,,Type: Distributor,,,,,,,,,,,,
Al Peake Amd Sons,distributor,,A,,,,,,Toledo,OH,,"Type: Distributor

Sales Notes: Jack Gilbertson buyer- hispanic focus broadliner[wonderjuice and curds",,,,,,,,,,,,
Albanos Pasta,customer,,B,,,,,,Valparaiso,IN,,Type: Ethnic,,,,,,,,,,,,
Ale Emporium,customer,,B,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Alice & Friends2,unknown,,D,,,,,"2201 S. Michigan Ave Chicago, Il 60616",Chicago,,,,,,,,,,,,,,,
Alice & Friends-Ashland,unknown,,D,,,,,"1723 N Halsted St Chicago,",Chicago,,,,,,,,,,,,,,,
Alinea,customer,,A,,,+1-312-867-0110,,"1723 N Halsted St Chicago,",Chicago,IL,60614,Type: Fine Dining,,,,,,,,,,,,
All Ways Catering,customer,,D,,,+1-312-363-2431,,110 Turner Ave,Elk Grove Village,IL,,Type: Caterer,,,,,,,,,,,,
Amaru,unknown,,C,,,+1-312-955-0306,,,,,,,,,,,,,,,,,,
Amg,unknown,,B,,,+1-312-337-6070,,,,,,,,,,,,,,,,,,
Anchored Consulting,unknown,,D,,,+1-773-327-4900,,,,,,,,,,,,,,,,,,
Andre'S Avery'S,unknown,,C,,,+1-708-205-5341,,,,,,,,,,,,,,,,,,
Anelya,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Angie'S,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Angie'S Sports Bar & Pizzeria,customer,,D,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Anmar Foods,distributor,,C,,,,,,Chicago,IL,,Type: Distributor,,,,,,,,,,,,
Anthony Marano Company,distributor,,A,,,,,,Chicago,IL,,Type: Distributor,,,,,,,,,,,,
Apis Hotel,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Apollo Foods,distributor,,C,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Apolonia,customer,,B,,,+1-312-363-2431,,"2201 S. Michigan Ave Chicago, Il 60616",Chicago,IL,60616,Type: Fine Dining,,,,,,,,,,,,
Aramark,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Arami,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Arch City Tavern,customer,,B,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Arlington Tap House,customer,,A,,,+1-224-735-2450,,1204 W Rand Rd,Arlington Heights,IL,60004,Type: Gastropub,,,,,,,,,,,,
Aromatix Catering,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Around the Clock,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Arthur Treachers,customer,,B,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Artisan Specialty Foods,distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Aruns Thai,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Asador Bastian,customer,,C,,,,,,,,,Type: Fine Dining,,,,,,,,,,,,
Ashland University,customer,,A,,,,,,,OH,,"Type: College & Universites

Sales Notes: Nathan Schegerikmis NH Rep Nick Forester is GFS rep",,,,,,,,,,,,
Astor Club,customer,,A,,,,,24 E. Goethe St,Chicago,IL,60610,"Type: Fine Dining

Sales Notes: Testa Kristen lead for VAF; Chef Trevor/Adam Butler",,,,,,,,,,,,
At the Office Bar& Grill,customer,,C,,,,,4901 Cal Sag Rd,Crestwood,IL,60445,"Type: Gastropub

Sales Notes: Sue or Tim are the owner",,,,,,,,,,,,
Atelier,customer,,B,,,,,,,,,Type: Fine Dining,,,,,,,,,,,,
Atlantic Food Dist.,distributor,,A,,,,,,,OH,,Type: Distributor,,,,,,,,,,,,
Atlantic Food Distributors,distributor,,A,,,,,,,OH,,Type: Distributor,,,,,,,,,,,,
Atlantic Foods Corp,distributor,,A,,,,,,,OH,,Type: Distributor,,,,,,,,,,,,
Atlas Wholesale,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Au Cheval,customer,,A,,,,,800 W Randolph St,Chicago,IL,,Type: Chain/Group Member,,,,,,,,,,,,
Austin'S Wood Fire Grille,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Avanti Foods,distributor,,A,,,,,,Walnut,IL,,Type: Distributor,,,,,,,,,,,,
Avec,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Avgo (theo'S Rg),customer,,C,,,,,,,,,Type: Casual,,,,,,,,,,,,
Avli,customer,,C,,,,,,Chicago',,,"Type: Fine Dining

Sales Notes: Follow up on VAH and Frties",,,,,,,,,,,,
Avli Restaurants,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Azul Marisol'S 7 Muelle,unknown,,D,,,,,,,,,,,,,,,,,,,,,
B & B Produce,distributor,,A,,,,,,Lockport,IL,,Type: Distributor,,,,,,,,,,,,
B and B Foods,distributor,,A,,,,,,,IN,,Type: Distributor,,,,,,,,,,,,
B N B Creations,unknown,,D,,,,,,,,,,,,,,,,,,,,,
B.E.S INC,distributor,,A,,,,,,,IN,,Type: Distributor,,,,,,,,,,,,
Back Yard Burgers,customer,,A,,,,,,,,,Type: Casual,,,,,,,,,,,,
Badger Murphy F.S.,distributor,,A,,,,,,Chicago,IL,,Type: Distributor,,,,,,,,,,,,
Bailey'S Bar and Grill,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Baker Street,customer,,A,,,,,,Fort Wayne,IN,,Type: Chain/Group Member,,,,,,,,,,,,
Baldwin Wallace,customer,,C,,,,,,,,,Type: College & Universites,,,,,,,,,,,,
Baldwin Wallace University,customer,,A,,,,,,Cleveland,,,Type: College & Universites,,,,,,,,,,,,
Ball State U,customer,,C,,,,,,,,,Type: College & Universites,,,,,,,,,,,,
Ballyhoo Hospitality,customer,,A,,,+1-312-577-4004,,908 North Halsted St,Chicago,IL,60642,"Type: Management company

Sales Notes: Gemini, coda Del Velte, old Pueblo, Sophia, Pomeroy, pizza by Sal, Buck Russells, Danucci's, Gemini, petite Pomeroy",,,,,,,,,,,,
Bally'S Casino and Hotel,unknown,,C,,,+1-888-822-2559,,600 N. Wabash Ave,Chicago,IL,60611,Sales Notes: They want to support diverse vendors. Sue to set up a meeting.,,,,,,,,,,,,
Bally'S Casino and Hotel Tap House Restaurant and Bar,unknown,,C,,,,,,,,,Sales Notes: DOES NOT LIKT THE OVERBREADING OGF THE SYSCO IMPERIAL BRAND CHEESE CURD LOOKING TO SWITCH,,,,,,,,,,,,
Ballys Casino Cavanugh'S,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Ballys Casino Evansville,customer,,B,,,,,,,,,Type: Entertainment/Casinos/Theatres,,,,,,,,,,,,
Bangers and Lace,customer,,A,,,,,1670 W Division St,Chicago,IL,60622,Type: Chain/Group Member,,,,,,,,,,,,
Banyan Ko,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Bar Mar,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Bare Bones,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Barefoot Republic Camp,customer,,C,,,,,,Fountain Run,KY,,"Type: Hospitality

Sales Notes: intro",,,,,,,,,,,,
Barley's Brewing Company Ale House #1,customer,,B,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Barrio,customer,,A,,,,,65 W Kinzie St,Chicago,IL,60654,"Type: Ethnic

Sales Notes: Vegetarian/ Vegan options",,,,,,,,,,,,
Bastion,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Bastista'S Pizza,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Battaglia Dist. Corp INC,distributor,,A,,,,,,Chicago,IL,,Type: Distributor,,,,,,,,,,,,
Batter & Berries,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Bavarian Inn/Cheese Trap,customer,,A,,,,,,Frankenmuth,MI,,"Type: Gastropub

Sales Notes: monica claimed cudtown customer. I cisited in Feb -left sample kit,/monica sent dill sample.",,,,,,,,,,,,
Bavette'S Bar and Steakhouse,customer,,A,,,+1-312-624-8154,,218 W Kinzie St,Chicago,IL,60654,"Type: Chain/Group Member

Sales Notes: Actually advertises steak frites! A vegas spot too!",,,,,,,,,,,,
Baxter'S North America,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Bazaar,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Bear and the Butcher,customer,,A,,,+1-312-955-0306,,2721 N Halsted St,Chicago,IL,,Type: Fine Dining,,,,,,,,,,,,
Beard and Belly,customer,,B,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Beatnik on the River,customer,,A,,,,,,,,,Type: Fine Dining,,,,,,,,,,,,
Beaver Wholesale Meats,distributor,,A,,,,,,,OH,,Type: Distributor,,,,,,,,,,,,
Beer Exchange,customer,,A,,,,,,,MI,,Type: Gastropub,,,,,,,,,,,,
Beggars Pizza,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Bella'S Pizza,customer,,C,,,,,,Saugatuck,MI,,"Type: Pizza

Sales Notes: erun rogers plant based leads gfs",,,,,,,,,,,,
Bellen Container Corp DBA Packaging by Design,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Benny Dicartas,customer,,A,,,,,,,MI,,Type: Gastropub,,,,,,,,,,,,
Best Intentions,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Lucrezia,customer,,A,,,,,,Chesterton,IN,,"Type: Fine Dining

Sales Notes: VAF ANNASEA",,,,,,,,,,,,
Industrial Revolution,customer,,A,,,,,,Valpraiso,IN,,"Type: Gastropub

Sales Notes: VAF ANNASEA",,,,,,,,,,,,
Beverly Cc,prospect,,A,,,,,,Chicago,IL,60652,"Type: Country Clubs/Golf/Health Fitness

Sales Notes: GFS ROSEMONT F/U 87th street",,,,,,,,,,,,
Bian,customer,,B,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Bibibop Asian Grill,customer,,A,,,,,,Columbus,OH,,"Type: Chain/Group Member

Sales Notes: Lead from bb. Brent and I will research",,,,,,,,,,,,
Big Boy,customer,,B,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Big City Tap,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Big Jones,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Big Red Oven,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Big Woods,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Bink'S Wines & Beverages,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Bistro Coco,customer,,C,,,,,250n Warren St,Dayton,OH,45402,"Type: Fine Dining

Sales Notes: Shipped Chef Zac a sample box of Annasea Tuna and salmon",,,,,,,,,,,,
Windy Cuty Grill,customer,,A,,,,,,Crown Point,IN,,"Type: Chain/Group Member

Sales Notes: steve Coppolillos -Rosebud-Windy City",,,,,,,,,,,,
Bizarre Meat by Jose Andres,customer,,A,,,,,"120 N. Wacker Drive, Chicago, Illinois",Chicago,IL,60606,Type: Fine Dining,,,,,,,,,,,,
Bl Development Group,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Blackwing Organic Meats,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Blondies,prospect,,A,,,,,,Flint,MI,,"Type: Vegan/ Vegetarian

Sales Notes: meeting-awaiting assigned sales rep names",,,,,,,,,,,,
Bloom & Associates,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Bloom Plant Based,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Blue Chip Casino,customer,,C,,,,,,,,,Type: Entertainment/Casinos/Theatres,,,,,,,,,,,,
Blue Oyster,customer,,B,,,,,,Valparaiso,IN,,"Type: Gastropub

Sales Notes: Chef Edddie",,,,,,,,,,,,
Blue Ridge Hotel Partners,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Bluebeard,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Bluegrass Hospitality Group,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Boelter,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Boeufhaus,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Boka,customer,,A,,,+1-312-337-6070,,1729 N. Halsted Street,Chicago,IL,,"Type: Chain/Group Member

Sales Notes: Please call on me ..several locations and catering. Tentori doesn't work there. New lead: Tentori works at GT Prime Steakhouse.",,,,,,,,,,,,
Boka Restaurant Group/Momotaro,customer,,A,,,,,820 West Lake St,Chicago,IL,,"Type: Chain/Group Member

Sales Notes: Please call on me ..several locations and catering. Tentori doesn't work there. New lead: Tentori works at GT Prime Steakhouse.",,,,,,,,,,,,
Bolingbrook Golf Club & Banquet,prospect,,C,,,,,,,,,Type: Country Clubs/Golf/Health Fitness,,,,,,,,,,,,
Bon Appetit,customer,,A,,,,,,,,,Type: Management company,,,,,,,,,,,,
Bon Manger Catering and Events,unknown,,D,,,,,,,,,,,,,,,,,,,,,
"Boodell & Domanskis, LLC",unknown,,D,,,,,,,,,,,,,,,,,,,,,
Boonies,unknown,,C,,,,,,,,,,,,,,,,,,,,,
"Bosco Food Service, INC",distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Bowling Green State,customer,,B,,,,,,,,,Type: College & Universites,,,,,,,,,,,,
Brass Elk,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Brassica,customer,,A,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Brgbelly,customer,,B,,,,,5739 W. Irving Park Road,,,,Type: Casual,,,,,,,,,,,,
Briar Ridge,prospect,,A,,,,,,,,,Type: Country Clubs/Golf/Health Fitness,,,,,,,,,,,,
Brick and Brine,customer,,A,,,,,,,MI,,Type: Gastropub,,,,,,,,,,,,
Brindille,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Brio Tuscan,customer,,A,,,,,,,,,Type: Fine Dining,,,,,,,,,,,,
Bronzeville Winery,customer,,A,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Brooklyn and the Butcher,unknown,,D,,,,,,,,,Sales Notes: Sister account to The Exchange.,,,,,,,,,,,,
Brown Food Service,distributor,,A,,,,,,,KY,,Type: Distributor,,,,,,,,,,,,
Bub Cafe,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Bub City,customer,,A,,,,,43rd N. Clark Street,Chicago,IL,60654,Type: Casual,,,,,,,,,,,,
Bubba'S 33 (Texas Roadhouse Little Sister),customer,,D,,,,,,,,,Type: Casual,,,,,,,,,,,,
Buckee,prospect,,B,,,,,,,,,Type: Travel,,,,,,,,,,,,
Bugsy'S,customer,,C,,,,,,,,,Type: Casual,,,,,,,,,,,,
Bullpen,customer,,C,,,,,,,,,"Type: Gastropub

Sales Notes: Sampled curds; purchased Original.",,,,,,,,,,,,
Buragtory,customer,,C,,,,,,,,,"Type: Gastropub

Sales Notes: 7 units; original",,,,,,,,,,,,
Burgerup,customer,,C,,,,,,Cool Springs,TN,,Type: Gastropub,,,,,,,,,,,,
Butcher & the Burger,customer,,B,,,,,1021 W. Armitage Ave,Chicago,IL,,Type: Gastropub,,,,,,,,,,,,
Butcher and the Bear,customer,,B,,,+1-708-205-5341,,,,,,Type: Fine Dining,,,,,,,,,,,,
Cafe 53,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Cafe Olympic,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Calling a Chef LLC,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Cameron Mitchell,customer,,A,,,,,,Columbus,OH,,"Type: Chain/Group Member

Sales Notes: Drop off samples from Annasea, Kaufhold and Frites Street",,,,,,,,,,,,
Cameron Mitchell Restaurant Group,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Canton Hotel & Restsupco.,customer,,A,,,,,,,OH,,Type: Management company,,,,,,,,,,,,
Caramagno Foods,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Caring,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Carlisle,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Carlos & Lupitas Restaurants,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Carlos Pancake House,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Carl'S Jr,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Carmela Foods Distributin,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Carson's Ribs,customer,,A,,,,,465 E Illinois St,Chicago,IL,60611,Type: Casual,,,,,,,,,,,,
Castle Hospitality,customer,,A,,,,,11 East Hubbard St,Chicago,IL,,Type: Chain/Group Member,,,,,,,,,,,,
Catanese Classic Seafoods,distributor,,A,,,,,,,OH,,Type: Distributor,,,,,,,,,,,,
Catch 35,customer,,B,,,,,,,,,Type: Casual,,,,,,,,,,,,
Catering Out the Box,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Cbk,customer,,A,,,,,,,,,Type: Casual,,,,,,,,,,,,
Cellar Bar,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Cellar Door,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Center Plate Development Co,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Central Kitchen + Bar,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Central Market,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Century,prospect,,A,,,,,,Columbus,,,Type: Group Purchasing Organization,,,,,,,,,,,,
Chaney'S Dairy Farm,customer,,C,,,,,,,,,Type: Casual,,,,,,,,,,,,
Chapel Street Cafe,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Charlie Baggs Culinary Innovations,unknown,,A,,,,,,,,,,,,,,,,,,,,,
Charlies,unknown,,C,,,,,,,,,Sales Notes: REP will bring the kit to the chef on their next meeting.,,,,,,,,,,,,
Char? 'D Brourbon Kitchen +Bar,customer,,C,,,,,,Louisville,KY,,"Type: Gastropub

Sales Notes: pass along a Kaufholds Sample kit Chef",,,,,,,,,,,,
Chasers,unknown,,D,,,,,,,,,Sales Notes: left wamples with bartender Lee; gave brief presentation,,,,,,,,,,,,
Cheer'S Food & Drink,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Chef Dave Madison,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Chef Jose Solis,customer,,C,,,+1-773-289-4274,,2714 N Milwaukee Ave,Chicago,IL,60647,"Type: Casual

Sales Notes: Have visited wtice. They have bought TCFB.",,,,,,,,,,,,
Chef Source,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Chefs Special Cocktail,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Chefs Warehouse,distributor,,A,,,+1-331-213-3364,,,,,,"Type: Distributor

Sales Notes: meeting set for 3/26",,,,,,,,,,,,
Chef'S Warehouse - Chicago,distributor,,A,,,,,,,,,Type: Distributor,,,,,,,,,,,,
"Chefs' Warehouse Midwest,",distributor,,A,,,,,,,OH,,Type: Distributor,,,,,,,,,,,,
Chelsea Retirement,prospect,,A,,,,,,,MI,,Type: Healthcare,,,,,,,,,,,,
Cherry Creek Golf Course,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Chicago Chophouse,customer,,A,,,,,"60 W. Ontario Street, Chicago, Illinois",Chicago,IL,,Type: Fine Dining,,,,,,,,,,,,
Sand Creek Cc,prospect,,A,,,,,,Chesterton,IN,,"Type: Country Clubs/Golf/Health Fitness

Sales Notes: now Concert management Co. in FL",,,,,,,,,,,,
219 Taproom,customer,,B,,,,,,Chesterton,IN,,"Type: Gastropub

Sales Notes: JOE OWNER-INSUFFICIENT DEMND FOR VAF",,,,,,,,,,,,
Chicago Club,customer,,A,,,,,,,,,"Type: Fine Dining

Sales Notes: Emailed Steve Testa",,,,,,,,,,,,
Chicago Club Makers LLC,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Chicago Cut,customer,,B,,,,,,,,,Type: Fine Dining,,,,,,,,,,,,
Chicago Cut Steakhouse,customer,,B,,,,,300 N. LA Salle Dr,Chicago,IL,,"Type: Fine Dining

Sales Notes: Dessert of the day, must ask server. skin on fries.",,,,,,,,,,,,
Chicago Diner,prospect,,A,,,,,2333 N Milwaukee Ave,Chicago,IL,60647,"Type: Vegan/ Vegetarian

Sales Notes: Will visit with a vegan kit.",,,,,,,,,,,,
Chicago Q,customer,,B,,,,,,,,,Type: Casual,,,,,,,,,,,,
Chicago Vegan Foods,prospect,,D,,,,,,,,,Type: Vending,,,,,,,,,,,,
Chicago Winery,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Chicken Salad Chick,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Chilean Balsam,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Chocolate Shoppe Ice Cream Co,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Christ Panos Egv,distributor,,A,,,,,,Chicago,IL,,Type: Distributor,,,,,,,,,,,,
Christ Panos Foods,distributor,,A,,,,,,Chicago,IL,,Type: Distributor,,,,,,,,,,,,
Cira/Boca Group,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Citizen M,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Clairebook Cc,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Clark Restaurant Service,distributor,,A,,,,,,,KY,,Type: Distributor,,,,,,,,,,,,
Clarklindsey,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Classic Cafe,customer,,A,,,,,,Fort Wayne,IN,,"Type: Caterer

Sales Notes: presented RR sauces Tandoori amd Butter chicken on drums and in cubess; left Kurd kit;presented BB hot dogs and land lovers filet",,,,,,,,,,,,
Clean Eatz,prospect,,C,,,,,7776 B S Randall Rd,Algonquin,IL,,Type: Meal Prep Service,,,,,,,,,,,,
Clems Refrigerated Foods,distributor,,A,,,,,,,KY,,Type: Distributor,,,,,,,,,,,,
Club 18 at Mister B'S(evansville and Owensboro,customer,,A,,,+1-812-492-0075,,,,,,"Type: Casual

Sales Notes: Drop samples to GMs of all locations except BG and Owensboro. Need to follow up with jared@misterbspizza.com",,,,,,,,,,,,
Club Hawthrone Crestwood,customer,,B,,,+1-605-595-1636,,13148 Rivercrest Dr,Crestwood,IL,,"Type: Entertainment/Casinos/Theatres

Sales Notes: Met with Rebecca. Loves the Garlic & Jalape�o. Has cheese curds but might replace them bc of flavor(s). 11-12-24",,,,,,,,,,,,
Cocina Costera Tulum,unknown,,D,,,,,850 W Fulton Market,Chicago,IL,,,,,,,,,,,,,,
Coco Pazzo,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Cod Di Volpe,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Colasanti'S / Milford Markets,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Coles Public House,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Community Hospitality,customer,,C,,,,,,Nashville,,,Type: Chain/Group Member,,,,,,,,,,,,
Concept Development Group,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Concordia College Dining Services,unknown,,D,,,,,,,,,,,,,,,,,,,,,
"Continental Canteen - Sterling Heights, Mi",unknown,,C,,,,,,,,,,,,,,,,,,,,,
Coopershawk,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Copper Fox,unknown,,D,,,,,,,,,,,,,,,,,,,,,
"Corfu Foods, INC",distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Corleones,customer,,A,,,,,,Independence,OH,,"Type: Gastropub

Sales Notes: Lead from Delmonicos",,,,,,,,,,,,
Cornell NYC,customer,,A,,,,,,,,,"Type: College & Universites

Sales Notes: NACUFS SHOWCASE EAST AND SOUTH USA",,,,,,,,,,,,
Cornerstone Restaurant Group,customer,,A,,,,,,,,,"Type: Management company

Sales Notes: Urban Belly, The Table at Crate, Sol Toro, MJ23 Sports Bar Michael Jordan's Steakhouse, Hi-Fi Chicken and Beer, Brassierie 1783",,,,,,,,,,,,
"Cosgrove Distributors,Inc",distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Cousin'S Pizza Pub,customer,,C,,,+1-630-980-8181,,966 W Lake St,Roselle,IL,,Type: Pizza,,,,,,,,,,,,
Cracker Barrel,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Craft & Crew Hospitality,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Craft Burger,customer,,C,,,,,,Chicago,,,Type: Casual,,,,,,,,,,,,
Craft'D,customer,,C,,,,,,,,,Type: Casual,,,,,,,,,,,,
Creation Gardens,distributor,,A,,,,,,,KY,,Type: Distributor,,,,,,,,,,,,
Creekside Restaurant & Bar,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Crescent Hill Craft House,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Crg Dining,customer,,A,,,,,,Indianapolis,IN,,Type: Chain/Group Member,,,,,,,,,,,,
Cristina Foods,distributor,,A,,,,,,Chicago,IL,,Type: Distributor,,,,,,,,,,,,
