name,organization_type,priority,segment_name,phone,linkedin_url,address,city,state,postal_code,notes
"Food Technology Magazine, Institute of Food Technologists",unknown,D,,,,,,,,
FoodMix,unknown,D,,,,,,,,
Foodservice Database Co,unknown,D,,,,,,,,
FOP Restaurant,customer,C,Casual Dining,,,,,,,
Forage Public house,unknown,C,,,,,,,,
Forbidden root,unknown,C,,,,,,,,
Ford Center Arena Evsnsville,customer,B,Entertainment,,,,,,,
Ford Center Executive Chef,customer,B,Entertainment,,,,,,,
FORTUNE FISH,distributor,A,Distributor,,,,Chicago,IL,,
Fortune Fish & Gourmet,distributor,A,Distributor,,,,,,,
Foundry kitchen and bar,unknown,C,,,,,,,,
Four Pegs,unknown,D,,,,,,,,
Four Seasons Hotel Chicago,customer,A,Fine Dining,,,,,,,
FOUR STAR FOODS,distributor,A,Distributor,,,,CHICAGO,IL,,
FOX SUPPLY,distributor,A,Distributor,,,,,OH,,
FOX VALLEY FARMS,distributor,A,Distributor,,,,,IL,,
Franciscan Hospital,prospect,A,Healthcare,,,,,,,
Frank and Mary's Tavern,unknown,C,,,,,,,,
Franklin Room,customer,B,Gastropub,+1 (312) 445-4686,,675 N�Franklin�st.,Chicago,IL,,Delivered FS samples per Flip'a request
Freedom Brothers Pizzeria & Alehouse,customer,D,Pizza,,,,,,,
Freelance,unknown,D,,,,,,,,
FreezPak,unknown,D,,,,,,,,
FRESH CREATIONS LLC,unknown,D,,,,,,,,
Frisch Big Boy,customer,A,Casual Dining,,,,,,,
Froelichs,unknown,C,,,,,,,,FS-bought Cottage
Front Street social,unknown,C,,,,,,,,
Frontera,customer,A,Ethnic Cuisine,,,,,,,
Fuego Tacos,unknown,B,,,,,,,,
Fuel Nutrition,prospect,C,Bar/Lounge,270-799-7784,,3278 Nashville Rd,Bowling Green,KY,42104,
Fujiyama Steakhouse of Japan,customer,C,Ethnic Cuisine,,,,,,,
FULTON TROIKA,distributor,A,Distributor,,,,CHICAGO,IL,,
Gabby Goat American Pub and Grill,customer,D,Gastropub,,,,,,,
Gaelic Park,unknown,D,,,,,,,,
Gage Hospitality Group,customer,A,Management Company,312-372-4001,,18 S. Michigan Avenue Ste 1100,Chicago,IL,,"ACANTO, Coda di volpe, dawson, The Gage"
Gag's Chicken,unknown,C,,,,,,,,
GALANT FOOD COMPANY,unknown,D,,,,,,,,
Galena Associates Inc.,unknown,D,,,,,,,,
Galit,customer,C,Gastropub,,,,,,,
Garda's,prospect,C,Italian,,,,,,,
Gather,customer,C,Gastropub,,,,,,,
GELARDI PRODUCE,distributor,A,Distributor,,,,,MI,,
Gelsosomo's Pizzeria,customer,A,Pizza,,,,,,,
Gemato's Wood Pit BBQ,customer,C,Casual Dining,708-361-4200,,6701 w 11th st,Worth,IL,,Met Jose (owner) and dropped off samples. Wants table tents. 11-12-24
GEORGIA STATE,customer,A,Education,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA
Gerolissimo,customer,A,Pizza,,,,,,,
GET FRESH PRODUCE,distributor,A,Distributor,,,,,IL,,
GFS,distributor,A,Distributor,,,,,MI,,
GFS-D,distributor,A,Distributor,,,,,,,
GFS-m,distributor,A,Distributor,,,,,,,
GFS-q,distributor,A,Distributor,,,,,,,
Ghost Writer,customer,C,Gastropub,,,49 1/2 S Main St,Johnstown,OH,43031,Shipped Chef Bradley Baluch a Annasea sample pack
Gianni's Cafe,unknown,C,,,,,,,,
Giant,unknown,C,,,,,,,,
Giant,unknown,C,,,,,,,,
Gibson's Rosemont,customer,A,Chain/Group,,,"5464 n river road, Rosemont, IL",,,,"14 locations in four states Gibson's bar and steakhouse Hugos, frog bar and Fish House, Lux bar, Cortino restaurant and wine bar Gibson's Italia. The boathouse also manages RL restaurant the polo bar in New York on behalf of Ralph Lauren, RL restaurant, Chi socks, bar, and grill and Hugos, frog bar and chophouse in rivers Casino and sugarhouse casino."
gilt bar,customer,A,Fine Dining,,,,,,,
Gino's East,customer,A,Chain/Group,,,,,,,
Gino's Prime - Dyer,customer,B,Fine Dining,,,,,,,
Giordano's,customer,A,Pizza,,,,,,,
Girl in the goat,customer,A,Fine Dining,,,"809 W Randolph St, Chicago, IL",Chicago,IL,,
Girl in the goat1,customer,A,Fine Dining,(773) 360-8755,,"1340 W Fulton St, Chicago, IL 60607",Chicago,IL,,
Girl in the goat2,customer,A,Fine Dining,�(312) 492-6262,,"2429 N Lincoln Ave, Chicago, IL",Chicago,IL,,
GLASS CITY FOOD SERVICE,distributor,A,Distributor,,,,Toledo,OH,,
Gnome Town,customer,A,Chain/Group,,,,Fort wayne,IN,,
Go Grocers,unknown,D,,,,,,,,
goblin and grocer,customer,A,Catering,,,,,IL,,GFS ROSEMONT F/U
Godess and Grocer,unknown,C,,,,,,,,
Gold Star,unknown,B,,,,,,,,
Golden Boy BBQ,customer,A,Casual Dining,,,551 S York St,Elmhurst,IL,60126,
Golf VX,customer,C,Entertainment,,,,,,,
Good To Go Food,unknown,D,,,,,,,,
Goosefoot,unknown,C,,,,,,,,
Gordon Food Service,distributor,A,Distributor,,,,,,,Includes culinary and sales key contacts as well as HQ team
GORDON FS/50TH STREET,distributor,A,Distributor,,,,,MI,,
GORDON FS/50TH STREET(FRO,distributor,A,Distributor,,,,,MI,,
GORDON FS/BRIGHTON,distributor,A,Distributor,,,,,MI,,
GORDON FS/CLAY AVE.,distributor,A,Distributor,,,,,MI,,
GORDON FS/DOCK #7,distributor,A,Distributor,,,,,MI,,
GORDON FS/EPO,distributor,A,Distributor,,,,,MI,,
GORDON FS/EPO REFRIG/FROZ,distributor,A,Distributor,,,,,MI,,
GORDON FS/FED EX ONLY,distributor,A,Distributor,,,,,MI,,
GORDON FS/GREEN OAK DC,distributor,A,Distributor,,,,,MI,,
GORDON FS/SHEPHERDSVILLE,distributor,A,Distributor,,,,,KY,,
GORDON FS/SPRINGFIELD,distributor,A,Distributor,,,,,OH,,
Goshen brewing,customer,C,Gastropub,,,,,,,
gottleib memorial,prospect,A,Healthcare,,,,,IL,,GFS ROSEMONT F/U
Gourmet Gorilla,customer,C,Casual Dining,,,,,,,
Grand Valley State University,customer,B,Education,,,,,,,
Great Harvest,customer,A,Chain/Group,,,,crown point,IN,,gluten free opportunity. sent lead to Carol.Await their reply
Greco,distributor,A,Distributor,,,,,,,
Greco PA,distributor,A,Distributor,,,,,,,
Green Street Smoked Meats (Hogsalt),customer,A,Chain/Group,,,,,,,
Greenbush,customer,B,Gastropub,,,,,,,FS sampled thru PFG-awaiting
Greenleaf Foods,unknown,D,,,,,,,,
greenntop tavern,customer,A,Gastropub,,,,,MI,,
Greenwood Associates,unknown,D,,,,,,,,
Greystone Tavern,customer,C,Gastropub,,,,,,,Chef wants gluten free cheese curds. Ours aren't.
Grindstone taphouse,unknown,B,,,,,,,,
Guckenheimer,unknown,D,,,,,,,,
GUEST SUPPLY/CHICAGO SYSC,distributor,A,Distributor,,,,,IL,,
GVSU,customer,A,Education,,,,,MI,,
Gyros and More,prospect,B,Fast food,,,,Lorain,OH,,W/w Atalntic Distributor Rep JOSH CHAMBERS
Hacienda Calavera,customer,A,Ethnic Cuisine,,,5503 W Cermak Rd,Cicero,IL,60804,
Half acre,customer,C,Gastropub,,,,,,,
Halls Chophouse,customer,C,Fine Dining,,,1600 West End Ave #101,Nashville,TN,37203,Shipped Chef Josh a box of Annasea tuna and salmon
Hammerheads,customer,C,Gastropub,,,,,,,
Harbor Shores,prospect,B,Country Clubs/Golf/Health Fitness,,,,,,,FS sampled. Like 3/8-GFS
Harold's,unknown,B,,,,,,,,
Harrison Lake Country Club,customer,B,Chain/Group,3128280966,,,,,,
Harry Carey (8) Lombard Rosemont River north navy pier mag mile,customer,A,Casual Dining,,,,,,,
Harvest Bar and Kitchen,unknown,C,,,,,,,,
harveys,prospect,A,Vegan/ Vegetarian,,,,saginaw,MI,,meeting-awaiting assigned sales rep names
harveys on the mall,customer,A,Gastropub,,,,,MI,,
Hayah Treats,customer,D,Gastropub,,,,,,,FS reviewed and sampled. GFS
Haymarket Brewery,customer,A,Chain/Group,312-374-3013,https://www.heislerhospitality.com,2001 w. Grand Ave,Chicago,IL,60612,
Heisler Hospitality,unknown,A,,,,,,,,
Hello Fresh,prospect,A,Meal Prep Service,,,,Aurora,IL,,Initial email to Kate Healy on 1/27
Heritage,unknown,C,,,,,,,,
Hermosa,unknown,D,,,,,,,,
high dive,customer,A,Gastropub,,,,,MI,,
High Horizon(KY Horse Park),unknown,C,,,,,,,,
Hillcrest CC,prospect,C,Country Clubs/Golf/Health Fitness,,,,,,,
HILLCREST FOODSERVICE,distributor,A,Distributor,,,,CLEVELAND,OH,,
Hilton Oakbrook,customer,A,Hospitality,,,,,,,
Hiraya Hospitality Collective,customer,D,Chain/Group,,,,,,,
HIS hospitality,unknown,A,,,,,,,,
HK Banjum Glenview Inc,customer,A,Chain/Group,,https://www.hogsalt.com,,,,,"Owns 20 restaurants in four cities with over 1000 employees Chicago location and headquartered, Armitage ale House Astor Hall are Chevelle the steakhouse Sachiko meal doughnut vault guilt bar green Street smoked meats high five Ramen, la Ren� lobster bar monkey bar, Sada coffee small Cheval tivolimyavern SYSCO CONTRACT"
Hog Wild,prospect,A,Chain/Group,,,,,,,
Hogsalt Hospitality Group,unknown,A,,,,,,,,
Holy Grale,unknown,C,,,,,,,,
Honey 1 BBQ,unknown,D,,,,,,,,
Honey Berry,customer,C,Chain/Group,,,,,,,
Honey Jam Cafe,prospect,A,Breakfast/Brunch,(708)-354-4880,,"181 Countryside Plaza,",Countryside,IL,60525,As of 1/31/25 we are 7 locations with the Kaufhold's cheese curds.
hook fish and chicken,unknown,D,,,,,,,,
Hookup LLC,customer,B,Gastropub,,,,,,,
hopcat,customer,A,Gastropub,,,,,MI,,
Hopleaf,customer,B,Gastropub,,,,,,,
Horseshoe Casino,customer,A,Chain/Group,773-687-8667,,10 West Hubbard St./3651 w. Fullerton,Chicago,IL,,
HOSPITALITY SERVICE GROUP,customer,A,Gastropub,,,,,,,
HR Clark General Store,prospect,C,Travel,,,1001 A Dutch Creek Rd,Westmoreland,TN,,Have bought 9 Cases of Dill Pickle Cheese Curds already thru Abdale looking to get the Thru DOT next
HT Hackney Indy,distributor,A,Distributor,,,,Indianapolis,IN,,email to introduce MFB and lines we carry
HT Hackney GR,distributor,A,Distributor,,,,Grnd Rapids,MI,,email to introduce MFB and lines we carry
HT Hackney(Paducah),distributor,A,Distributor,,,,Paducah,KY,,email to introduce MFB and lines we carry
Wild Egg,customer,A,Chain/Group,,,,louisville,KY,,20 stores
Hugo Fog bar,customer,A,Chain/Group,,,,,,,
Hungry Howies,customer,A,Chain/Group,,,,,,,Email chef and will drop off sample box of fries
Hurtbourne Country Club (Louisville),prospect,B,Travel,,,,,,,
Hyatt Lodge in Oakbrook,customer,C,Hospitality,,,,,,,
Hyatt Regency McCormick Place,unknown,C,,,,,,,,
Hyles-Anderson College,customer,A,Education,,,8400 Burr Street,Crown point,IN,46307,
I took,unknown,B,,,,"180 N. Field Boulevard, Chicago, Illinois",Chicago,IL,,
"ILLINI INST. FOODS, INC.",distributor,A,Distributor,,,,,IL,,
Illinois State University,customer,A,Education,,,,,,,
In the Game Hollywood Park,customer,A,Entertainment,,,501 Cal Sag Road,Crestwood,IL,,Desserts & Curds
Ina Mae,unknown,B,,,,,,,,Chef David directs us thru Piazza and Harry Greene.
INDIANA CONCESSIONS SUPPL,distributor,A,Distributor,,,,,IN,,
Indianhead Food Distributor,customer,C,Education,,,,Eau Claire,WI,,
Indienne,unknown,D,,,,,,,,
Informa Markets/SupplySide/Food & Beverage Insider,unknown,D,,,,,,,,
Inner City Entertainment,unknown,D,,,,,,,,Sampling chips-Sysco Chgo
Innsbrook,prospect,D,Country Clubs/Golf/Health Fitness,,,,,,,
Innsbrook CC,prospect,B,Country Clubs/Golf/Health Fitness,,,,,,,
Inspiration Kitchens,unknown,D,,,,,,,,
Instantwhip Foods Inc.,unknown,C,,,,,,,,
INTERNATIONAL MEAT CO,distributor,A,Distributor,,,,CHICAGO,IL,,
IRBN,distributor,A,Distributor,,,,,IN,,
Italia Gardens,customer,A,Chain/Group,,,,,,,
J. Alexander,customer,A,Chain/Group,,,,,,,
"J. Mark Enterprises, LLC",customer,B,Gastropub,,,41 E. superior,Chicago,IL,,
Jake Melnicks Corner Tap,customer,B,Gastropub,,,,,,,
Jay Mark Group,unknown,D,,,,,,,,
JB Bailey Investments,unknown,C,,,,,,,,
Jesse Oaks,prospect,C,Bar/Lounge,,,,Gages Lake,IL,,Lead came in from USF Rep Lori Taylor.
Jodi's Italian Ice Factory,customer,C,Casual Dining,,,,,,,
Joe Daniel,unknown,C,,,,,,,,
Joe Daniels,customer,C,Gastropub,708-765-2155,,12218 s harlem ave,Palos Heights,IL,,Met chef Angel and tried the samples. Likes the Garlic then jalapeno 11-12-24
JOE FRONTERA & SONS,distributor,A,Distributor,,,,,MI,,
Joe seafood,customer,B,Fine Dining,,,"60 E. grand Avenue Chicago, Illinois",Chicago,IL,,
Joe's Seafood Prime Steak and Stone Crab,unknown,B,,,,,,,,
JOHNNIES BEEF,unknown,D,,,,,,,,
johnnys,customer,A,Gastropub,,,,Independence,OH,,Lead from Delmonicos
John's food and wine,unknown,D,,,,,,,,
Josephine,customer,C,Casual Dining,,,,,,,
Joy Yee,unknown,C,,,,,,,,
Joy Yee Noodle,customer,B,Gastropub,,,,,,,
Joys Pizza,prospect,B,Fast food,,,,Brunswick,OH,,W/w Atalntic Distributor Rep JOSH CHAMBERS
Joyworldmburger,customer,A,Chain/Group,,,,,,,
JP Graziano,prospect,A,Italian,,,901 w randolph st,Chicago,IL,60607,
JQM WHOLESALE,distributor,A,Distributor,,,,,MI,,
JTM Food Group,unknown,C,,,,,,,,
Juno,unknown,C,,,,,,,,
Just a dash catering,customer,A,Catering,,,9722 parkway Drive,highland,IN,46322,"angel perry, tiana johnson, nicole ward"
K. LEFKOFSKY,distributor,A,Distributor,,,,,MI,,
Kansas State University,unknown,A,,,,,,,,
Kansas State University,unknown,A,,,,,,,,
Kasama,unknown,C,,,,,,,,
Kasia,unknown,D,,,,,,,,
Kathryn�s place,unknown,D,,,,,,,,
Kelber Caterin,unknown,D,,,,,,,,
Kelber Catering,unknown,C,,,,,,,,
Kelley's Pub,unknown,C,,,,,,,,
Kelly's pub,unknown,C,,,,,,,,
Kettering Health,unknown,D,,,,,,,,
Key Food Services Co.,unknown,D,,,,,,,,
KIMS UNCLE PIZZA,customer,A,Casual Dining,,,,,,,
"KING KOLD, INC.",distributor,A,Distributor,,,,ENGLEWOOD,OH,,
Kings Dining & Entertainment,customer,A,Entertainment,,,,,,,
Kings Fish & Chicken - Mattesson,customer,B,Casual Dining,,,"400 N. Wells Street, Chicago, Illinois",Chicago,IL,,
Kings Pizza of Rosebud,customer,C,Pizza,,,,,,,
Kinzie Chophouse,customer,C,Fine Dining,,,,,,,
Kit Kat Lounge,prospect,C,Bar/Lounge,,,,Chicago,IL,,
KL Trading,unknown,D,,,,,,,,
Kraft Heinz Company,customer,A,Chain/Group,773-604-8769/312-666-9090,,2423 N. Milwaukee,Chicago,IL,,Sent email to Nick asking for path to present
Kuma's Korner,customer,A,Gastropub,,,2900 w belmont ave,Chicago,IL,,
KUNA MEAT/E. PEORIA,distributor,A,Distributor,,,,,IL,,
Kwiktrip,customer,D,Chain/Group,,,,,,,
La cafe,prospect,A,Vegan/ Vegetarian,,,,Flint,MI,,meeting-awaiting assigned sales rep names
La Carreta,unknown,D,,,,,,,,
La Casa de Isaac & Moishe,customer,C,Fine Dining,,,,Highland Park,IL,,Lead from Lauren Scatena.
La Catedral,prospect,C,Breakfast/Brunch,,,2500 S Christiana Ave,Chicago,IL,60623,
La Otra Radio Chicago,unknown,B,,,,,,,,
La Rabida Childerns Hospital,prospect,B,Healthcare,,,,,,,
LaCoCo's,unknown,D,,,,,,,,
Lady Gregory's,customer,C,Gastropub,,,,,,,
Laine Too,unknown,C,,,,,,,,
LANNINGS FOODS,distributor,A,Distributor,,,,MOUNT VERNON,OH,,
Lardon,customer,B,Pizza,,,,,,,
Lark Restaurant & Bar,customer,C,Casual Dining,,,,Chicago,IL,,
LaRosa,customer,A,Chain/Group,,,,,,,
Lassen's Tap,customer,B,Gastropub,,,,,,,
LCacao,customer,B,Fine Dining,+1 314-477-9085,,,,,,
LE BOUCHON,customer,A,Fine Dining,,,,,,,
Le Colonial,customer,A,Fine Dining,,,,,IL,,
Leeds public,customer,A,Chain/Group,(773) 825-2400,,,,,,SYSCO CONTRACT
Legacy Hospitality,customer,A,Management Company,,,,,,,
Leona�s Pizzeria,unknown,D,,,,,,,,
Lesaffre,prospect,A,Chain/Group,7738787340,jMatuszewski@lettuce.com,5419 n Sheridan,Chicago,IL,60647,
Lesa's Dairy Dip,prospect,C,Fast food,,,,Bowling Green,KY,,emailed about samples interest
LeTOUR,customer,A,Fine Dining,,,,Evanston,,,
Lettuce Entertain you,unknown,A,,,,417 N. Ashland Avenue,Chicago,IL,,
lfg,customer,A,Gastropub,,,,,MI,,
Lillie's Q,unknown,D,,,,,,,,
Lipari,distributor,A,Distributor,,,,detroit,,,
LLCC,unknown,C,,,,,,,,
Local West,customer,A,Chain/Group,,,,,,,
Lockeepers,customer,A,Gastropub,,,,Independence,OH,,Lead from Delmonicos
Logan's Roadhouse,unknown,A,,,,,,,,
Lola's Tacos & Tequila,customer,C,Ethnic Cuisine,8478558741,,170 W Grand Ave #337,Gurnee,IL,60031,
Long John Silvers,customer,B,Casual Dining,773-276-7110,,"2657 n kedzie ave, Chicago, IL",Chicago,IL,,
Longman &Eagle,customer,A,Fine Dining,,,,,,,
LOST LARSON,unknown,C,,,,,,,,Has cheese curds on the menu already. Hoping to switch them to Kaufhold's. .
Lost Never Found,unknown,D,,,,,,,,
Lot,customer,A,Pizza,,,,,,,
Lou Malnati,customer,D,Chain/Group,,,,,,,
Lowe's O'Hare,customer,A,Hospitality,,,,,,,
Lowlands Group,unknown,D,,,,,,,,
Loyola Hospital,prospect,A,Healthcare,,,,,,,
Lucchese Italian Restaurant,unknown,C,,,,,,,,
Lucellas,unknown,D,,,,,,,,
Lucky/s,customer,A,Fine Dining,,,,east Lamsing,MI,,chain of 8 restaurantsts-fine steakhouse
LUDWIG FISH AND PRODUCE,distributor,A,Distributor,,,,,IN,,
LULA CAFE,unknown,D,,,,,,,,
Macroman Meals,prospect,C,Meal Prep Service,502-289-6464,,1812 W Muhammad Ali Blvd,Louisville,KY,40203,
Madame Zusus,prospect,D,Vegan/ Vegetarian,(847) 926-7359,,1876 1st St,Highland Park,IL,60035,
Madison Pub,customer,B,Gastropub,+1 (630) 455-5520,,"7611 S. Madison St., Burr Ridge, IL",,,,
Madison Pub & Grill,customer,C,Casual Dining,,,,,,,
Madison's pub and grill,unknown,D,,,,,,,,
Madison's Restaurant,unknown,D,,,,,,,,
Main Street Cafe,unknown,B,,�(312) 988-0687,,"731 W Lake St, Chicago, IL",Chicago,IL,,
Maki Sushi and Teriyaki,prospect,C,Food Truck,,,,,KY,,
Mako,unknown,C,,,,,,,,
mali,customer,A,Gastropub,,,,Saugatuck,MI,,erun rogers plant based leads gfs
MALONEY CUNNINGHAM,distributor,A,Distributor,,,,CHICAGO,IL,,
Mama Delia,customer,B,Fine Dining,+1 (312) 944-8888,,"8 w maple st, Chicago, IL",Chicago,IL,,
MANCUSO CHEESE COMPANY,distributor,A,Distributor,,,,,IL,,
Pavlou Restaurant Group,unknown,A,,,,,,,,
Pappas Restaurant Group,unknown,A,,,,,,,,
Maple and Ash,customer,A,Gastropub,,,,,,,
Maple lake assisted living,unknown,B,,,,,,,,
Maple Tree Inn,customer,B,Gastropub,,,,,,,
Maplewood,unknown,D,,,,,,,,
Marcus Hotels and Resorts,unknown,C,,,,,,,,
Mark Burkhalter,distributor,A,Distributor,,,,,,,
MARK VEND COMPANY,distributor,A,Distributor,,,,,IL,,
Mark's Tavern,customer,B,Gastropub,,,"2121 s prairie ave, Chicago, IL",Chicago,IL,,Sampled FS frites. Paneling 3/8
Marriott Marquis Chicago,unknown,C,,,,,,,,
Marshall's Landing,customer,C,Fine Dining,(312) 610-8050,,222 W Merchandise Mart Plaza,Chicago,IL,60654,Left samples of Frites Street with the GM Mario for Chef Lupe Gonzalez.
"MARTIN PRODUCE, INC",distributor,A,Distributor,,,,,IL,,
Marz,unknown,D,,,,,,,,
MATAJER AL ARABIAH TRADING CO.,unknown,D,,,,,,,,
Matc College,unknown,D,,,,,,,,
Mather,customer,A,Casual Dining,,,,,,,
Matrix Club Naperville,prospect,C,Country Clubs/Golf/Health Fitness,,,,,,,
Matt and Tonys Columbus,customer,C,Gastropub,614-914-8484,,340 E Gay St,Columbus,OH,43215,Message  Chef Javier Alvarez on how to get him and his team samples
Max and Erma's,customer,B,Chain/Group,,,,,,,
Maxwell is trading,unknown,D,,,,,,,,
MAXWELLS TRADING,unknown,C,,,,,,,,
MB Restaurant Group LLC,unknown,C,,,,,,,,
MCCORMICK FOOD & BEVERAGE,distributor,A,Distributor,,,,,IL,,
McNulty's Bier Markt,prospect,B,Country Clubs/Golf/Health Fitness,,,,,,,
"MEATS BY LINZ, INC.",distributor,A,Distributor,,,,,IL,,
Medinah CC,unknown,B,,,,,,,,
Meijer,unknown,C,,,,,,,,Will visit this week. Will bring fries.
MELCO DISTRIBUTING,distributor,A,Distributor,,,,,MI,,
MERCADITO,unknown,C,,,,,,,,
Mercado,customer,C,Casual Dining,,,,Fort Wayne,IN,,
mercy medical,prospect,A,Healthcare,,,,,IL,,GFS ROSEMONT F/U
MERKLEY & SONS PACKING CO,distributor,A,Distributor,,,,,IN,,
MERRY MILK MAID,distributor,A,Distributor,,,,URBANCREST,OH,,
Mesh Systems,unknown,D,,,,,,,,
Mesker Park Zoo,unknown,D,,,,,,,,"Chef Amy; sysco, usf, gfs, greco; 2 other locations - City & Uptown...same owner; samplesd and Dill was a favorite"
MESSIAH,customer,A,Education,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA
Metro Grill & Bar,unknown,C,,,,,,,,
Mexo GR,unknown,D,,,,,,,,
Meyer's Castle,unknown,C,,,,,,,,
MFB,unknown,D,,,,,,,,
MI TOCAYA,customer,A,Fine Dining,,,505 N. Michigan Avenue,Chicago,IL,60601,
Michael Jordans,customer,D,Pizza,,,,,,,"Dropped off a kaufholds kit with the chef, will try with owner."
MICHAEL'S FINER MEAT'S,distributor,A,Distributor,,,,COLUMBUS,OH,,
Michael's Pizza,customer,C,Education,,,,,,,
Michigan State University,customer,A,Education,,,,,,,
MID TOWN DISTRIBUTORS,distributor,A,Distributor,,,,,IL,,
Schulers,customer,A,Fine Dining,,,,,,,
Midtown Athletic Club,prospect,A,Country Clubs/Golf/Health Fitness,(773) 796-6523,,2444 N Elston Ave,Chicago,IL,60647,"Lizet Lopez was the rep here, we are unaware of who the rep is now. I would like to show them Frites Street, Verticle Acres and possibly some of our vegan brands."
Midway Restaurant Dev,unknown,D,,,,,,,,Met Joe Fitzgerald @ Franklin Room. Expressed alot of interest in kennebec high-end fry. Will follow up by email
Midwest Foods,distributor,A,Distributor,,,,,,,
Midwest Training & Ice Center,unknown,D,,,,,,,,
"Milano's Pizza,Subs and Taps",customer,C,Gastropub,,,,,KY,,
millenium,customer,A,Chain/Group,,,,,MI,,
Millenium Restaurant Group,customer,A,Chain/Group,,,,,MI,,Sent emil on TCFB Holiday Blitz
Milwaukee Area Technical College,customer,D,Education,,,,,,,
Minneapolis Public Schools,unknown,D,,,,,,,,
Mino's Italian,customer,A,Fine Dining,,,,Winnetka,,,
Miss mamies seafood and steaks,unknown,C,,,,,,,,
Mister B's Pizza and Wings Bowling Green KY,unknown,C,,,,,,,,
Mister B's Pizza and Wings Murray KY,unknown,C,,,,,,,,
MiTocaya,unknown,C,,,,,,,,
MMD,unknown,D,,,,,,,,
Modern Interiors,customer,B,Pizza,,,,,,,
MOFFETT FOOD SERVICE,distributor,A,Distributor,,,,,MI,,
Monicals Pizza,customer,B,Pizza,,,,,,,
MONTEVERDE,customer,A,Fine Dining,,,,,,,
Moody Bible Institute,customer,A,Education,800) 356-6639,,820 N La Salle Dr,Chicago,IL,60610,They are GFS supplied and HPS contracted. Executive chef is Fabian.garcia@moody.edu.
Moody tongue,unknown,A,,,,,,,,
Motor City Soul Food Express,unknown,C,,,,,,,,
Mott st,unknown,B,,,,1401 N. Ashland Avenue,Chicago,IL,,
Mott Street,unknown,C,,,,,,,,
"MSI FOODS, INC.",distributor,A,Distributor,,,,,IL,,
Mugsy's Hideout Murray,unknown,C,,,,,,,,
Munchies,customer,C,Gastropub,,,,,,,
Munro Pizzaria,unknown,D,,,,,,,,
Mush Foods,unknown,C,,,,,,,,
Muze,unknown,C,,,,,,,,
My Big Fat Shawarma,unknown,D,,,,,,,,
Naf Naf Grill,unknown,C,,,,,,,,
Nanobrew,unknown,D,,,,,,,,
National Restaurant Association,unknown,D,,,,,,,,
Nationwide Arena,customer,A,Entertainment,,,200 W Nationwide Blvd,Columbus,OH,43215,Shipped Chef Sean Barger a box of Annasea Ahi Tuna and Salmon
Native Foods,prospect,B,Vegan/ Vegetarian,,,,Chicago,IL,,"Dame - Owner; On Ja Lee, wife. Interest in PB cheesecake for VDay"
NATURAL DIRECT,distributor,A,Distributor,,,,,IL,,
Naty's Pizza,customer,C,Chain/Group,,,3849 w 26th st,Chicago,IL,,
Nehemiah's,unknown,D,,,,,,,,
Nellies,unknown,D,,,,,,,,
New Beginnings Restaurant,unknown,D,,,,,,,,
Newport Cafe & Go Grocer,prospect,C,Retail,,,,,,,
Next,customer,C,Pizza,,,,,,,
Nick's Pizza,unknown,D,,,,,,,,
Nicky's Gyro's,prospect,C,Fast food,,,,,,,Received free samples of curds for 30th anniversy. Follow up on samples of frites week of 2-17
NO Vacancy,unknown,D,,,,,,,,
Noble DQ,customer,A,Chain/Group,,,,,,,
Noble Romans,unknown,C,,,,,,,,
Noco Provisions,customer,B,Fine Dining,,,,,,,
North Point,prospect,C,Bar/Lounge,,,,Lake Zurich,IL,,Lead came in from USF Rep Lori Taylor.
North pond,customer,A,Chain/Group,,,,,,,
North Star (Brassica parent?),unknown,D,,,,,,,,
NorthAmerican Concessions,unknown,B,,,,,,,,
Northern Hasserot,distributor,A,Distributor,,,,cleveland,,,
Northern IL U,customer,A,Education,+1 (312) 500-6666,,"509 N. wells Street Chicago, IL",Chicago,IL,,
The Patio,customer,A,Chain/Group,,,,Chicago,,,800k annual 3/8 Simplot 251019 buyer thru Greco
Northside Yacht Club,customer,D,Education,,,,,,,
NORTHWESTERN,customer,A,Education,,,,,,,
Noshville Delicatessen,unknown,C,,,,,Nashville,TN,,
Not Just Cookies,unknown,A,,,,,Chicago,IL,60651,Wholesale Bakery at 1340 N Homan in Chicago. ordered Wicks
Notre Dame,customer,A,Education,,,,south bend,,,
Nu Bistro,unknown,D,,,,,,,,
NU WAVE,unknown,B,,,,,,,,
OBC kitchens,customer,A,Chain/Group,,,,,,,
Obi Cai Restaurant Group,customer,A,Chain/Group,,,,Fort wayne,IN,,
OCharley,customer,B,Gastropub,+1 (773) 916-6421,,"4419 W. Montrose Ave., Chicago, IL",Chicago,IL,,
Ohio University,unknown,A,,,,,,,,
Old Irving brewing Company,customer,A,Entertainment,,,,,,,
Old National  Executive Chef,customer,B,Entertainment,,,,,,,
Old National Catering Operations Manager,customer,B,Entertainment,,,,,,,
Old National Concession and Bar Manager,customer,B,Entertainment,,,,,,,
Old National Director of F&B,customer,B,Entertainment,,,,,,,
Old National Events Plaza Evansville,customer,B,Gastropub,,,,,,,
old River tap and social,customer,B,Casual Dining,,,,,,,
Olde Stone Country Club,prospect,C,Country Clubs/Golf/Health Fitness,,,,Bowling Green,KY,,intro
